chunk_id,company,report_type,year,pdf_filename,chunk_index,page_start,page_end,section_title,token_count_estimate,word_count,char_count,citation,pdf_path,final_url
airbus::Airbus_Annual_Report_2024::0011,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,11,10,11,Innovation at Airbus,431,377,2518,Airbus | Airbus_Annual_Report_2024.pdf | pages 10-11,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0012,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,12,11,12,New materials for aircraft manufacturing,456,385,2666,Airbus | Airbus_Annual_Report_2024.pdf | pages 11-12,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0013,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,13,12,13,Taking midair refuelling to the next level,386,327,2074,Airbus | Airbus_Annual_Report_2024.pdf | pages 12-13,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0014,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,14,13,14,Advancing space manufacturing capabilities,486,421,2707,Airbus | Airbus_Annual_Report_2024.pdf | pages 13-14,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0015,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,15,14,15,Resilience,412,357,2427,Airbus | Airbus_Annual_Report_2024.pdf | pages 14-15,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0016,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,16,15,16,Sustainability in action,468,414,2864,Airbus | Airbus_Annual_Report_2024.pdf | pages 15-16,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0017,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,17,15,16,Sustainability in action,479,402,2831,Airbus | Airbus_Annual_Report_2024.pdf | pages 15-16,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0018,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,18,16,16,Sustainability in action,480,403,2777,Airbus | Airbus_Annual_Report_2024.pdf | page 16,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0019,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,19,16,17,Sustainability in action,472,396,2575,Airbus | Airbus_Annual_Report_2024.pdf | pages 16-17,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0020,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,20,17,18,Airbus,500,378,2532,Airbus | Airbus_Annual_Report_2024.pdf | pages 17-18,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0021,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,21,18,18,Airbus Helicopters,441,360,2391,Airbus | Airbus_Annual_Report_2024.pdf | page 18,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0022,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,22,18,19,Airbus Helicopters,452,384,2568,Airbus | Airbus_Annual_Report_2024.pdf | pages 18-19,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0023,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,23,19,19,Airbus Defence and Space,496,403,2758,Airbus | Airbus_Annual_Report_2024.pdf | page 19,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0024,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,24,19,20,Airbus Defence and Space,483,375,2390,Airbus | Airbus_Annual_Report_2024.pdf | pages 19-20,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0025,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,25,20,21,Focused on objectives,472,390,2483,Airbus | Airbus_Annual_Report_2024.pdf | pages 20-21,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0026,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,26,21,21,"Revenues (€ million) 69,230",486,385,2344,Airbus | Airbus_Annual_Report_2024.pdf | page 21,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0027,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,27,21,22,"Revenues (€ million) 69,230",394,317,1971,Airbus | Airbus_Annual_Report_2024.pdf | pages 21-22,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0028,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,28,22,22,Share information,482,413,2643,Airbus | Airbus_Annual_Report_2024.pdf | page 22,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0029,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,29,22,23,Share information,412,333,2196,Airbus | Airbus_Annual_Report_2024.pdf | pages 22-23,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0030,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,30,22,23,Share information,419,319,2313,Airbus | Airbus_Annual_Report_2024.pdf | pages 22-23,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0031,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,31,23,23,Share information,412,297,1910,Airbus | Airbus_Annual_Report_2024.pdf | page 23,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0032,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,32,23,23,Share information,430,336,2039,Airbus | Airbus_Annual_Report_2024.pdf | page 23,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0033,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,33,23,24,Share information,482,413,2767,Airbus | Airbus_Annual_Report_2024.pdf | pages 23-24,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0034,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,34,23,27,Share information,462,327,2236,Airbus | Airbus_Annual_Report_2024.pdf | pages 23-27,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0035,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,35,26,27,Contents,400,325,2227,Airbus | Airbus_Annual_Report_2024.pdf | pages 26-27,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0036,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,36,27,27,Contents,404,334,2261,Airbus | Airbus_Annual_Report_2024.pdf | page 27,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0037,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,37,27,29,Contents,491,363,2630,Airbus | Airbus_Annual_Report_2024.pdf | pages 27-29,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0038,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,38,29,29,1.1 Overview,434,360,2508,Airbus | Airbus_Annual_Report_2024.pdf | page 29,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0039,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,39,29,29,1.1 Overview,459,388,2691,Airbus | Airbus_Annual_Report_2024.pdf | page 29,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0040,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,40,29,29,1.1 Overview,443,385,2580,Airbus | Airbus_Annual_Report_2024.pdf | page 29,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0041,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,41,29,30,1.1 Overview,452,388,2657,Airbus | Airbus_Annual_Report_2024.pdf | pages 29-30,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0042,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,42,30,30,1.1 Overview,475,382,2692,Airbus | Airbus_Annual_Report_2024.pdf | page 30,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0043,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,43,30,30,1.1 Overview,494,391,2749,Airbus | Airbus_Annual_Report_2024.pdf | page 30,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0044,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,44,30,31,1.1 Overview,441,333,2336,Airbus | Airbus_Annual_Report_2024.pdf | pages 30-31,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0045,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,45,31,31,1.1.2 Organisation of the,412,331,2234,Airbus | Airbus_Annual_Report_2024.pdf | page 31,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0046,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,46,31,31,1.1.2 Organisation of the,436,355,2302,Airbus | Airbus_Annual_Report_2024.pdf | page 31,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0047,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,47,31,32,1.1.2 Organisation of the,495,382,2599,Airbus | Airbus_Annual_Report_2024.pdf | pages 31-32,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0048,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,48,31,32,1.1.2 Organisation of the,416,319,2240,Airbus | Airbus_Annual_Report_2024.pdf | pages 31-32,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0049,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,49,32,32,1.2 Airbus (Commercial Aircraft),469,386,2724,Airbus | Airbus_Annual_Report_2024.pdf | page 32,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0050,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,50,32,32,1.2 Airbus (Commercial Aircraft),357,307,2107,Airbus | Airbus_Annual_Report_2024.pdf | page 32,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0051,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,51,32,32,1.2 Airbus (Commercial Aircraft),444,390,2540,Airbus | Airbus_Annual_Report_2024.pdf | page 32,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0052,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,52,32,33,1.2 Airbus (Commercial Aircraft),496,423,2805,Airbus | Airbus_Annual_Report_2024.pdf | pages 32-33,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0053,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,53,32,33,1.2 Airbus (Commercial Aircraft),487,389,2639,Airbus | Airbus_Annual_Report_2024.pdf | pages 32-33,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0054,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,54,33,33,1.2 Airbus (Commercial Aircraft),430,353,2433,Airbus | Airbus_Annual_Report_2024.pdf | page 33,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0055,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,55,33,33,1.2 Airbus (Commercial Aircraft),447,397,2616,Airbus | Airbus_Annual_Report_2024.pdf | page 33,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0056,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,56,33,33,1.2 Airbus (Commercial Aircraft),448,384,2584,Airbus | Airbus_Annual_Report_2024.pdf | page 33,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0057,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,57,33,34,1.2 Airbus (Commercial Aircraft),408,346,2379,Airbus | Airbus_Annual_Report_2024.pdf | pages 33-34,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0058,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,58,34,34,Market Structure and Competition,463,390,2648,Airbus | Airbus_Annual_Report_2024.pdf | page 34,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0059,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,59,34,34,Market Structure and Competition,458,390,2625,Airbus | Airbus_Annual_Report_2024.pdf | page 34,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0060,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,60,34,34,Market Structure and Competition,498,409,2709,Airbus | Airbus_Annual_Report_2024.pdf | page 34,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0061,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,61,34,35,Market Structure and Competition,384,293,1847,Airbus | Airbus_Annual_Report_2024.pdf | pages 34-35,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0062,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,62,34,35,Market Structure and Competition,479,360,2369,Airbus | Airbus_Annual_Report_2024.pdf | pages 34-35,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0063,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,63,35,35,Products,489,388,2676,Airbus | Airbus_Annual_Report_2024.pdf | page 35,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0064,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,64,35,35,Products,434,329,2218,Airbus | Airbus_Annual_Report_2024.pdf | page 35,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0065,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,65,35,36,Products,478,389,2514,Airbus | Airbus_Annual_Report_2024.pdf | pages 35-36,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0066,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,66,36,36,Products,489,342,2122,Airbus | Airbus_Annual_Report_2024.pdf | page 36,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0067,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,67,36,37,Products,463,337,2203,Airbus | Airbus_Annual_Report_2024.pdf | pages 36-37,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0068,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,68,37,37,Customer Services,493,367,2347,Airbus | Airbus_Annual_Report_2024.pdf | page 37,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0069,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,69,37,38,Customer Services,489,388,2610,Airbus | Airbus_Annual_Report_2024.pdf | pages 37-38,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0070,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,70,38,38,Operations,487,398,2754,Airbus | Airbus_Annual_Report_2024.pdf | page 38,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0071,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,71,38,38,Operations,397,335,2414,Airbus | Airbus_Annual_Report_2024.pdf | page 38,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0072,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,72,38,38,Operations,373,325,2299,Airbus | Airbus_Annual_Report_2024.pdf | page 38,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
