company,question,ground_truth,context,topic,source_pdf,answer,contexts
Airbus,What is Airbus's absolute CO2 emissions reduction target for Scope 1 and 2 by 2030 compared to the 2015 baseline?,-63% absolute reduction,Reducing the environmental footprint of its operations Airbus has a dedicated programme to reduce the environmental footprint of its operations: high5+. ... Ambition for 2030 compared to 2015 baseline: CO2 -63% CO2 emissions ... The high5+ CO2 emissions reduction targets reflect Airbus’ Scope 1 and 2 targets validated by the Science Based Targets initiative (SBTi).,emissions,src\data\scraped_pdfs\airbus.pdf,,"[""Reducing the environmental footprint of its operations Airbus has a dedicated programme to reduce the environmental footprint of its operations: high5+. ... Ambition for 2030 compared to 2015 baseline: CO2 -63% CO2 emissions ... The high5+ CO2 emissions reduction targets reflect Airbus’ Scope 1 and 2 targets validated by the Science Based Targets initiative (SBTi).""]"
Airbus,Which international standards and principles does Airbus reference in its Human Rights Policy?,"UN Guiding Principles on Business and Human Rights, OECD Guidelines for Multinational Enterprises, and the International Labour Organization’s Declaration on Fundamental Principles and Rights at Work","To embed and advance respect for human rights, Airbus is committed to taking into account international standards and principles including the UN Guiding Principles on Business and Human Rights, the OECD Guidelines for Multinational Enterprises and the International Labour Organization’s (ILO) Declaration on Fundamental Principles and Rights at Work.",governance,src\data\scraped_pdfs\airbus.pdf,,"[""To embed and advance respect for human rights, Airbus is committed to taking into account international standards and principles including the UN Guiding Principles on Business and Human Rights, the OECD Guidelines for Multinational Enterprises and the International Labour Organization’s (ILO) Declaration on Fundamental Principles and Rights at Work.""]"
Airbus,What share of direct electricity supply does Airbus aim to obtain from renewable or low‑carbon sources for all its European sites by 2030?,At least 90%,The Company aims to secure at least 90% direct supply of renewable or low-carbon electricity for all sites in Europe by 2030.,taxonomy,src\data\scraped_pdfs\airbus.pdf,,"[""The Company aims to secure at least 90% direct supply of renewable or low-carbon electricity for all sites in Europe by 2030.""]"
Airbus,"In Airbus's UK STEM education programme, what percentage of female students in the first cohort chose Triple Science GCSE in the 2024‑2025 academic year, and how does this compare with the previous year?","55% in 2024‑2025, up from 36% in 2023‑2024","There was also a clear increase in the number of female members of the first cohort choosing to study Triple Science GCSE (55% for the academic year 2024-2025, compared to 36% in 2023-2024).",social,src\data\scraped_pdfs\airbus.pdf,,"[""There was also a clear increase in the number of female members of the first cohort choosing to study Triple Science GCSE (55% for the academic year 2024-2025, compared to 36% in 2023-2024).""]"
Airbus,How many tonnes of carbon removal credits has Airbus agreed to purchase from 1PointFive?,"400,000 tonnes","Airbus has an agreement with 1PointFive for the offtake purchase of 400,000 tonnes of carbon removal credits.",other,src\data\scraped_pdfs\airbus.pdf,,"[""Airbus has an agreement with 1PointFive for the offtake purchase of 400,000 tonnes of carbon removal credits.""]"
Danone,What internal control framework does Danone use and which body monitors its effectiveness?,"Danone uses the DANgo framework, and the Audit Committee monitors its effectiveness.","Internal control is implemented by Danone’s General Management, managers and operational teams with the primary aim of ensuring: ... In 2024, Danone continued to roll out and extend data analysis tools to its operating subsidiaries. ... The Audit Committee is responsible for monitoring the effectiveness of Danone’s internal control and risk management systems (see section 6.1 Governance bodies).",governance,src\data\scraped_pdfs\danone.pdf,,"[""Internal control is implemented by Danone’s General Management, managers and operational teams with the primary aim of ensuring: ... In 2024, Danone continued to roll out and extend data analysis tools to its operating subsidiaries. ... The Audit Committee is responsible for monitoring the effectiveness of Danone’s internal control and risk management systems (see section 6.1 Governance bodies).""]"
Danone,"What proportion of Danone’s product volumes achieved a Health Star Rating of at least 3.5 stars in 2024, and what ranking did Danone receive in the Global Access to Nutrition index that year?","87.7% of product volumes scored ≥3.5 stars, and Danone was ranked #1 in the 2024 Global Access to Nutrition index (ATNi).","■ a portfolio of strong brands focused on superior health, nature and social impacts: • a strong platform of global brands ... • a strong focus on health: in 2024, 87,7% of product volumes sold scored ≥ 3.5 stars under the Health Star Rating system. Danone has also been awarded #1 position in the 2024 Global Access To Nutrition index (ATNi), which assesses the world’s 30 largest food and beverage manufacturers;",social,src\data\scraped_pdfs\danone.pdf,,"[""■ a portfolio of strong brands focused on superior health, nature and social impacts: • a strong platform of global brands ... • a strong focus on health: in 2024, 87,7% of product volumes sold scored ≥ 3.5 stars under the Health Star Rating system. Danone has also been awarded #1 position in the 2024 Global Access To Nutrition index (ATNi), which assesses the world’s 30 largest food and beverage manufacturers;""]"
Danone,Which sustainability roadmap does Danone reference and what major B Corp milestone is it aiming for?,Danone references the Danone Impact Journey and aims to become the largest B Corp in the world.,Danone has a comprehensive and quantified roadmap (the Danone Impact Journey) and is delivering it in pace with objectives and milestones. Danone is also on track to become the largest B Corp TM in the world.,taxonomy,src\data\scraped_pdfs\danone.pdf,,"[""Danone has a comprehensive and quantified roadmap (the Danone Impact Journey) and is delivering it in pace with objectives and milestones. Danone is also on track to become the largest B Corp TM in the world.""]"
Danone,Does the excerpt provide any quantitative data on Danone’s greenhouse gas emissions for 2024?,"No, the excerpt does not contain any quantitative information on Danone’s greenhouse gas emissions.","DESCRIPTION OF MAIN RISK FACTORS Strategic risks Description Management measures strong Over reliance on principal markets and exposure to geopolitical, economical and societal instability In 2024, Danone’s top-5 markets (United States, China, France, Indonesia and Mexico) accounted for 52% of its consolidated sales...",emissions,src\data\scraped_pdfs\danone.pdf,,"[""DESCRIPTION OF MAIN RISK FACTORS Strategic risks Description Management measures strong Over reliance on principal markets and exposure to geopolitical, economical and societal instability In 2024, Danone’s top-5 markets (United States, China, France, Indonesia and Mexico) accounted for 52% of its consolidated sales...""]"
Danone,"What was the total cost of Danone’s insurance premiums in 2024, broken down by global coverage, local coverage, and special risk coverage?","€41 million for global coverage, €22 million for local coverage, and €7 million for special risk coverage, totaling €70 million.","Insurance programs for property damage, business interruption and commercial general liability risk are negotiated at Group level for all subsidiaries... These programs were renewed on January 1, 2024 and represented a total cost of €41 million in 2024. ... Total premiums came to approximately €22 million in 2024. ... the total cost of this category of coverage amounted to €7 million in 2024.",other,src\data\scraped_pdfs\danone.pdf,,"[""Insurance programs for property damage, business interruption and commercial general liability risk are negotiated at Group level for all subsidiaries... These programs were renewed on January 1, 2024 and represented a total cost of €41 million in 2024. ... Total premiums came to approximately €22 million in 2024. ... the total cost of this category of coverage amounted to €7 million in 2024.""]"
Engie,What were Engie's total Group GHG emissions in 2024 and what is the 2030 target range for these emissions?,"Total Group GHG emissions were 157 Mt CO₂e in 2024, and the 2030 target range is 120 – 140 Mt CO₂e.","Main emission reduction targets Scope (footprint coverage 2024) 2017 2023 2024 OLD 2030 TARGET 2030 TARGET 2035 TARGET 2040 Total Group GHG emissions (Mt CO2e) 1, 2, 3 (100%) 265 158 157 n.a. 120 / 140 80 / 110 40 / 70",emissions,src\data\scraped_pdfs\engie.pdf,,"[""Main emission reduction targets Scope (footprint coverage 2024) 2017 2023 2024 OLD 2030 TARGET 2030 TARGET 2035 TARGET 2040 Total Group GHG emissions (Mt CO2e) 1, 2, 3 (100%) 265 158 157 n.a. 120 / 140 80 / 110 40 / 70""]"
Engie,Which committee within Engie's governance structure validates group policies related to nature challenges such as biodiversity and circular economy?,The Executive Committee validates group policies relating to nature challenges.,"EXECUTIVE COMMITTEE Validates Group policies relating to Nature challenges (water, biodiversity, pollution, circular economy)",governance,src\data\scraped_pdfs\engie.pdf,,"[""EXECUTIVE COMMITTEE Validates Group policies relating to Nature challenges (water, biodiversity, pollution, circular economy)""]"
Engie,What proportion of Engie's growth capital expenditure planned for 2025‑27 is aligned with the EU Taxonomy?,Over 80% of the growth capex (specifically 82%) is aligned with the EU Taxonomy.,2024‑26 2025‑27 20 SIGNIFICANT INVESTMENTS TO DELIVER ON STRATEGY €21-24 billion of Growth Capex over 2025 to 2027 Over 80% aligned with EU Taxonomy ... 18% not aligned / covered by EU taxonomy 82% aligned with EU Taxonomy,taxonomy,src\data\scraped_pdfs\engie.pdf,,"[""2024‑26 2025‑27 20 SIGNIFICANT INVESTMENTS TO DELIVER ON STRATEGY €21-24 billion of Growth Capex over 2025 to 2027 Over 80% aligned with EU Taxonomy ... 18% not aligned / covered by EU taxonomy 82% aligned with EU Taxonomy""]"
Engie,"What was the percentage of women in Engie's Group management in 2024, and what is the target range for 2030?","Women made up 32% of Group management in 2024, with a 2030 target of 40%‑60%.",Percentage of women in Group management (%) 30% 31% 32% 40%-60%,social,src\data\scraped_pdfs\engie.pdf,,"[""Percentage of women in Group management (%) 30% 31% 32% 40%-60%""]"
Engie,Since which year has Engie been partnered with the French Committee of the International Union for Conservation of Nature (IUCN) to integrate biodiversity into its activities?,Engie has been partnered with the French Committee of the IUCN since 2008.,ENGIE and the French Committee of the International Union for Conservation of Nature have been linked since 2008 through a partnership agreement aimed at helping the Group to integrate biodiversity more fully into its activities.,biodiversity,src\data\scraped_pdfs\engie.pdf,,"[""ENGIE and the French Committee of the International Union for Conservation of Nature have been linked since 2008 through a partnership agreement aimed at helping the Group to integrate biodiversity more fully into its activities.""]"
Schneider Electric,How many tonnes of CO₂ emissions does Schneider Electric claim to reduce annually by equipping the Kiefer photovoltaic park in Greece?,"150,000 tonnes","By equipping Kiefer’s 110MW photovoltaic park in Vathylakkos, Kozani (Greece) with advanced Schneider Electric technology, we helped power 35,000 homes sustainably while reducing CO₂ emissions by 150,000 tons annually",emissions,src\data\scraped_pdfs\schneider-electric.pdf,,"[""By equipping Kiefer’s 110MW photovoltaic park in Vathylakkos, Kozani (Greece) with advanced Schneider Electric technology, we helped power 35,000 homes sustainably while reducing CO₂ emissions by 150,000 tons annually""]"
Schneider Electric,What type of assurance did Schneider Electric receive for SSI #8 in 2024?,reasonable assurance,"In 2024, the Group obtained a “reasonable” assurance for SSI #8.",governance,src\data\scraped_pdfs\schneider-electric.pdf,,"[""In 2024, the Group obtained a “reasonable” assurance for SSI #8.""]"
Schneider Electric,"What is Schneider Electric’s 2025 target for providing access to green electricity, and how many people had been reached by Q3 2025?",Target: 50 million people; Reached by Q3 2025: 30 million people,Provide access to green electricity to 50M people7 41% 23% 24% 0 50% 40% 30% 0% 0% 0% 30M 50M,taxonomy,src\data\scraped_pdfs\schneider-electric.pdf,,"[""Provide access to green electricity to 50M people7 41% 23% 24% 0 50% 40% 30% 0% 0% 0% 30M 50M""]"
Schneider Electric,How many days of volunteering have Schneider Electric employees contributed in local communities since 2017?,"over 80,900 days","Schneider Electric encourages a culture of giving back, leading employees to contribute over 80,900 days of volunteering in their local communities since 2017",social,src\data\scraped_pdfs\schneider-electric.pdf,,"[""Schneider Electric encourages a culture of giving back, leading employees to contribute over 80,900 days of volunteering in their local communities since 2017""]"
Schneider Electric,How many suppliers have been assessed under Schneider Electric’s Vigilance Program as reported in Q3 2025?,"over 4,000 suppliers","With over 4,000 suppliers assessed under our Vigilance Program, Schneider Electric ensures responsible sourcing and strengthens trust, transparency, and sustainability across its global supply chain",other,src\data\scraped_pdfs\schneider-electric.pdf,,"[""With over 4,000 suppliers assessed under our Vigilance Program, Schneider Electric ensures responsible sourcing and strengthens trust, transparency, and sustainability across its global supply chain""]"
L'Oreal,What reduction target has L'Oréal set for Scope 1 and Scope 2 greenhouse gas emissions by 2030 compared with the 2019 baseline?,57% reduction,"Reduce Scopes 1 & 2 GHG emissions by 57% by 2030, compared with 2019.",emissions,src\data\scraped_pdfs\l-oreal.pdf,,"[""Reduce Scopes 1 & 2 GHG emissions by 57% by 2030, compared with 2019.""]"
L'Oreal,"How many L'Oréal shares does the Chief Executive Officer, Nicolas Hieronimus, hold?","232,428 shares","Holds 232,428 L’Oréal shares",governance,src\data\scraped_pdfs\l-oreal.pdf,,"[""Holds 232,428 L’Oréal shares""]"
L'Oreal,Which board member represents employees on behalf of L'Oréal’s European Works Council and also serves on the Audit Committee?,"Benny de Vlieger, Director representing employees, member of the Audit Committee",Benny de Vlieger — Age: 60 Belgian Expiry date of term of office: 2026 — Member of the Audit Committee ... appointed Director representing employees by L’Oréal’s European Works Council for a four-year term.,social,src\data\scraped_pdfs\l-oreal.pdf,,"[""Benny de Vlieger — Age: 60 Belgian Expiry date of term of office: 2026 — Member of the Audit Committee ... appointed Director representing employees by L’Oréal’s European Works Council for a four-year term.""]"
L'Oreal,What biodiversity-related target has L'Oréal set for all its industrial sites and buildings by 2030?,All industrial sites and buildings operated by L’Oréal must have a positive impact on biodiversity compared with 2019,"Ensure that all industrial sites and buildings operated by L’Oréal have a positive impact on biodiversity, compared to 2019(5) by 2030.",biodiversity,src\data\scraped_pdfs\l-oreal.pdf,,"[""Ensure that all industrial sites and buildings operated by L’Oréal have a positive impact on biodiversity, compared to 2019(5) by 2030.""]"
L'Oreal,What proportion of L'Oréal’s total 2024 investments was allocated to marketing investments?,38%,"marketing investments, including moulds, point-of-sale advertising materials and stores accounted for 38% of total investments",taxonomy,src\data\scraped_pdfs\l-oreal.pdf,,"[""marketing investments, including moulds, point-of-sale advertising materials and stores accounted for 38% of total investments""]"
Volkswagen,Who has been appointed by the Supervisory Board of Volkswagen AG as the ESG officer?,Mr. Hans Dieter Pötsch,"[p20] ... In addition, the Supervisory Board has appointed an ESG officer. This role is currently performed by Mr. Hans Dieter Pötsch. ...",governance,src\data\scraped_pdfs\volkswagen.pdf,,"[""[p20] ... In addition, the Supervisory Board has appointed an ESG officer. This role is currently performed by Mr. Hans Dieter Pötsch. ...""]"
Volkswagen,What were Volkswagen Group’s total location‑based greenhouse gas emissions in 2024?,416.1 million tons of CO2e,[p68] ... TOTAL GHG EMISSIONS ... 2024 Total GHG emissions – location‑based million tons of CO2e 416.1 ...,emissions,src\data\scraped_pdfs\volkswagen.pdf,,"[""[p68] ... TOTAL GHG EMISSIONS ... 2024 Total GHG emissions – location‑based million tons of CO2e 416.1 ...""]"
Volkswagen,How many ESRS subtopics did Volkswagen define as the binding basis for its materiality assessment?,37 subtopics of the ESRS,"[p23] ... As a binding basis for the materiality assessment topic list, the 37 subtopics of the ESRS were defined, with sub‑subtopics also taken into account. ...",taxonomy,src\data\scraped_pdfs\volkswagen.pdf,,"[""[p23] ... As a binding basis for the materiality assessment topic list, the 37 subtopics of the ESRS were defined, with sub‑subtopics also taken into account. ...""]"
Volkswagen,"How many stakeholder groups has Volkswagen identified as the most important, and which two are placed at the centre of its stakeholder network?","Ten groups, with employees and customers at the centre of the stakeholder network",[p13] ... The Volkswagen Group has identified ten groups as the most important stakeholder groups. Our employees and customers are at the centre of the stakeholder network. ...,social,src\data\scraped_pdfs\volkswagen.pdf,,"[""[p13] ... The Volkswagen Group has identified ten groups as the most important stakeholder groups. Our employees and customers are at the centre of the stakeholder network. ...""]"
Volkswagen,"Beyond simply cutting emissions, what is the core objective of Volkswagen Group’s nature‑related sustainability strategy?",To have a positive impact on people and the environment and to contribute to the restoration and improvement of ecosystems and living conditions through regenerative actions,"[p9] ... A core objective of the Group sustainability strategy is therefore to achieve more than simply cutting emissions. Our vision is to have a positive impact on people and the environment, and to contribute to restoration and improvement of ecosystems and living conditions by means of regenerative actions. ...",biodiversity,src\data\scraped_pdfs\volkswagen.pdf,,"[""[p9] ... A core objective of the Group sustainability strategy is therefore to achieve more than simply cutting emissions. Our vision is to have a positive impact on people and the environment, and to contribute to restoration and improvement of ecosystems and living conditions by means of regenerative actions. ...""]"
Siemens,What were the total GHG removals and storage reported for Siemens' own operations and value chain in fiscal 2025?,The total GHG removals and storage in own operations are 0 tCO2e and the total GHG removals and storage in the value chain are also 0 tCO2e.,The total GHG removals and storage in own operations are 0 tCO2e and the total GHG removals and storage in the value chain are also 0 tCO2e.,emissions,src\data\scraped_pdfs\siemens.pdf,,"[""The total GHG removals and storage in own operations are 0 tCO2e and the total GHG removals and storage in the value chain are also 0 tCO2e.""]"
Siemens,"Which internal carbon pricing schemes are currently in place at Siemens, and in which countries are they applied?","Internal carbon pricing mechanisms are currently in place in the United Kingdom, Brazil, and Switzerland.","Carbon pricing is considered selectively across Siemens w/o SHS, depending on the business area and local context. Internal carbon pricing mechanisms are currently in place in the United Kingdom, Brazil, and Switzerland, where local internal CO2e prices are used to contribute towards achieving the Scope 1, 2 & 3 SBTi and sustainability targets...",governance,src\data\scraped_pdfs\siemens.pdf,,"[""Carbon pricing is considered selectively across Siemens w/o SHS, depending on the business area and local context. Internal carbon pricing mechanisms are currently in place in the United Kingdom, Brazil, and Switzerland, where local internal CO2e prices are used to contribute towards achieving the Scope 1, 2 & 3 SBTi and sustainability targets...""]"
Siemens,"What is the target percentage for Robust Eco Design coverage of Siemens' relevant hardware, software and service portfolio by fiscal 2030, and what was the achieved percentage in fiscal 2025?",Target for fiscal 2030 is 100%; the achieved percentage in fiscal 2025 was 67%.,"Between fiscal 2021 and 2025, RED increased for our relevant hardware, software, and service portfolio, growing from 16% to 67%. Target achievement toward fiscal 2030 is in progress. ... Target year 2030 Target value 100% Fiscal year 2025 67%",taxonomy,src\data\scraped_pdfs\siemens.pdf,,"[""Between fiscal 2021 and 2025, RED increased for our relevant hardware, software, and service portfolio, growing from 16% to 67%. Target achievement toward fiscal 2030 is in progress. ... Target year 2030 Target value 100% Fiscal year 2025 67%""]"
Siemens,"How many total employees did Siemens report as of 30 September 2025, and what was the gender breakdown?","Total employees: 317,562 (Male 223,708; Female 88,154; Other 129; Not reported 5,571).","Employees by gender Sep 30, (in headcount) 2025 Male 223,708 Female 88,154 Other1 129 Not reported2 5,571 Total 317,562 ... Figures are based on the employee definition ...",social,src\data\scraped_pdfs\siemens.pdf,,"[""Employees by gender Sep 30, (in headcount) 2025 Male 223,708 Female 88,154 Other1 129 Not reported2 5,571 Total 317,562 ... Figures are based on the employee definition ...""]"
Siemens,"How many kilotonnes of CO2e of carbon credits did Siemens cancel in fiscal 2025, and what proportion of those came from removal projects?","Siemens cancelled 2.0 ktCO2e of carbon credits in fiscal 2025, of which 57% (1.2 ktCO2e) were from removal projects.","In total, Siemens cancelled 2.0 ktCO₂e of carbon credits outside of its value chain in fiscal 2025. ... From removal projects 1.2 57% ...",other,src\data\scraped_pdfs\siemens.pdf,,"[""In total, Siemens cancelled 2.0 ktCO₂e of carbon credits outside of its value chain in fiscal 2025. ... From removal projects 1.2 57% ...""]"
Iberdrola,"What CO2 emissions intensity target must Iberdrola achieve by 2025 under the Strategic Bonus, and what reduction percentage does this represent compared to its 2021 intensity?","A level equal to or less than 70 g CO2/kWh, representing a 27% reduction compared to the 2021 specific CO2 emissions intensity.","The 2023-2025 Strategic Bonus considers the reduction of CO2 emissions intensity among its parameters... This parameter will be considered achieved if, taking into account a normal rainfall period, a level equal to or less than 70g CO2/kWh is reached in 2025 in terms of the intensity of its own CO2 emissions. This target represents a demanding reduction of 27% compared to the specific CO2 emissions intensity of the Iberdrola Group in 2021...",emissions,src\data\scraped_pdfs\iberdrola.pdf,,"[""The 2023-2025 Strategic Bonus considers the reduction of CO2 emissions intensity among its parameters... This parameter will be considered achieved if, taking into account a normal rainfall period, a level equal to or less than 70g CO2/kWh is reached in 2025 in terms of the intensity of its own CO2 emissions. This target represents a demanding reduction of 27% compared to the specific CO2 emissions intensity of the Iberdrola Group in 2021...""]"
Iberdrola,What weighting does the CO2 emissions intensity parameter have in the 2023‑2025 Strategic Bonus incentive scheme?,10% weighting.,The 2023-2025 Strategic Bonus considers the reduction of CO2 emissions intensity among its parameters... This parameter carries a weighting of 10%.,governance,src\data\scraped_pdfs\iberdrola.pdf,,"[""The 2023-2025 Strategic Bonus considers the reduction of CO2 emissions intensity among its parameters... This parameter carries a weighting of 10%.""]"
Iberdrola,Which practices does Iberdrola cite as supporting its continued classification in sustainability‑related indices and ratings?,"Transparency and disclosure of non‑financial information, together with excellence in maintaining the classification in sustainability‑related indices and ratings.",◦ Transparency and disclosure of non‑financial information. ◦ Excellence in maintaining the classification in sustainability‑related indices and ratings.,taxonomy,src\data\scraped_pdfs\iberdrola.pdf,,"[""◦ Transparency and disclosure of non‑financial information. ◦ Excellence in maintaining the classification in sustainability‑related indices and ratings.""]"
Iberdrola,Which sub‑topic was newly classified as material in the 2025 Double Materiality Assessment because it exceeded the established thresholds?,Whistleblower protection.,The main change in this update is that the sub‑topic “Whistleblower protection” is now considered material as it exceeds the established thresholds...,social,src\data\scraped_pdfs\iberdrola.pdf,,"[""The main change in this update is that the sub‑topic “Whistleblower protection” is now considered material as it exceeds the established thresholds...""]"
Iberdrola,What hierarchy does Iberdrola apply systematically throughout the life cycle of projects to manage biodiversity impacts?,"The mitigation and conservation hierarchy (avoid, minimise, restore and compensate as a last resort).","All actions are governed by the mitigation and conservation hierarchy (avoid, minimise, restore and compensate as a last resort), which is applied systematically throughout the life cycle of projects.",biodiversity,src\data\scraped_pdfs\iberdrola.pdf,,"[""All actions are governed by the mitigation and conservation hierarchy (avoid, minimise, restore and compensate as a last resort), which is applied systematically throughout the life cycle of projects.""]"
